id,locationName,latitude,longitude,description,Topics,SubjectTags,CompiledTags,Text,NameofAudioFile,NamesofImages,LinktoAudio,LinktoImages,transcript
23,Bait Al Mouraikhi/Delma Museum,24.482214,52.304542,"The house of the late Muhammad bin Jassim Al-Muraikhi, the most famous pearl merchant on Delma Island. The house was built in the 1930s. In the 1990s it was converted into the museum of Delma Island.","Archaeology and History,Maritime Economy","Museums,English Writing,Arabic Writing/Calligraphy,Education,Food","Museums,English Writing,Arabic Writing/Calligraphy,Education,Food,Archaeology and History,Maritime Economy",,,,,,
24,Al Muhanadi Mosque,24.482019,52.305647,A mosque built by Saeed bin Ali Al Muhannadi in 1946 AD. It is the only mosque of the historic Dalma mosques in which prayer is still held from its construction until present day. ,,,,,,,,,
25,Al Dawsari mosque,24.4825,52.305661,Rashid bin Fahad Al Dossari Mosque is the smallest mosque on the island. It was built in 1931 AD.,,,,,,,,,
26,Al Mouraikhi Mosque,24.482531,52.304936,"Built by Muhammed bin Jassim Al-Muraikhi, a well-known pearl merchant. It is made from the beach's stone and coral, and covered with a stucco exterior. It is considered the oldest mosque on Delma Island to date.",,,,,,,,,
27,Al Buhouth,24.480797,52.317967,"A group of drinking water wells. Today they have been replaced by farms, built on lands distributed to Delma citizens after the establishment of the UAE.",,,,,,,,,
28,Delma Airport,24.503013,52.33386,Delma Island's airport has direct flights from Abu Dhabi to Delma. The flights take 45 minutes and there are two flights a day. Flights for Delma and UAE citizens from are free. It is operated by Abu Dhabi Airport.  ,,,,,,,,,
29,Old Delma Port,24.478933,52.308818,"The Arabic name Al Bandar translates to ""the port."" This is considered the old Port of Delma, as diving ships used to come to the port to provide water and food for the island. This is where ships arrived and departed. ","Archaeology and History,Maritime Economy","Food,Water,Pearl Diving,Boats/Ships,Transportation,Fishing","Archaeology and History,Maritime Economy,Food,Water,Pearl Diving,Boats/Ships,Transportation,Fishing",https://drive.google.com/file/d/1zcyxhg_39_Pq5Wk6TQn6n2hRS9BO2BDS/view?usp=sharing,Fathi_Part_1.m4a,"dhow_Delma.jpeg,IMG_1062.jpg,IMG_1066.jpg",https://drive.google.com/file/d/1UXsvZqnaU3ZkuKHR2lVWO3Hqo76U2QLP/view?usp=sharing,"https://drive.google.com/file/d/14InBJYu3DtC6fpfyz9VP5jI8cLszb58B/view?usp=sharing, https://drive.google.com/file/d/1TZ6qwHusP7iV96oD1hsGCk95JIGi4TaP/view?usp=sharing, https://drive.google.com/file/d/1VLz31fZcEQnN6BFgJIz4g48yZyYrsuVy/view?usp=sharing","<div class='interviewHeader'>Interview with Jumma Al Qubaisi</div><div class='interviewOtherInfo'>Mr. Jumaa Khamis Al Qubaisi is a retired fisherman and community leader. He was born on Delma Island in 1948.</div>
<div className='questionTranscript'>Q: How did you make a living in the past?</div>
<div className='answerTranscript'>A: We earned money selling fish. But before my time, in my parents’ time, people made more money from pearl diving and people were buying slaves for 5, 10, 20 rupees.</div>
<div className='questionTranscript'>Q: Slaves!?</div>
<div className='answerTranscript'>A: Yes, selling and buying slaves still existed until the era of Sheikh Shakhbut bin Sultan Al Nahyan, but then Britain prevented that and issued a decree to free them.</div>
<div className='questionTranscript'>Q: Is it right that the slaves took the family name of the man who bought them?</div>
<div className='answerTranscript'>A: Yes, for example, if I bought a slave then his/her family name would become Al Qubaisi. Many of their children are still living in Abu Dhabi.</div>
<div className='questionTranscript'>Q: How were they treated?</div>
<div className='answerTranscript'>A: In fact, some people were treating them good but some were not and the system was if you buy a slave, you should provide food, residence and clothes for him/her. Also, some people married their slaves.</div>
<div className='questionTranscript'>Q: Did they give them a salary?</div>
<div className='answerTranscript'>A: No no. Owners only provided food, residence and clothes for them. If the owner decided to sell his slaves, he went to Buraimi market.</div>
<div className='questionTranscript'>Q: I heard that Delma residents paid the government in the past. What was that?</div>
<div className='answerTranscript'>A: The government sent men to collect what was called “qalayet” and I remember one of these men was Abd Alqani. These men were taking “qulata” from each ship. They collected it like this: If my ship’s profit was 10,000 dirhams, I should pay the half to the sailors, and the “qulata” will be the same as one sailor takes, and in this example it is 1000 dirhams from me.</div>
<div className='questionTranscript'>Q: So can we say that “qulata” was what we call taxes today?</div>
<div className='answerTranscript'>A: Yes, it was known in the other Gulf countries. It was also applied on dates. People who had date palms had to give the government an amount of the dates.</div>
<div className='questionTranscript'>Q: Was Delma considered as a source of income for the government?</div>
<div className='answerTranscript'>A: Yes, in the past the highest income was from Delma, and from pearl diving. Merchants and shipmasters also had weapons. So if there was a war or if the government needed their help, they stood with it. At the time, the government did not have a formal military, but people who had weapons stood with the government in good or bad and without hesitation.</div>
<div className='questionTranscript'>Q: So the government was depending on merchants and shipmasters for an army?</div>
<div className='answerTranscript'>A: Yes, and the Bedouins also. If there was a war, they gave anything they could even if it was only a camel.</div>
<div className='questionTranscript'>Q: Do you remember the period of pearl diving?</div>
<div className='answerTranscript'>A: I remember the late diving period when oil was found in Kuwait, and people started to go there to work. And then it was found in Bahrain and people went to work there and stopped diving and selling pearls after the emergence of artificial pearls.</div>
<div className='questionTranscript'>Q: But did the fish selling still exist?</div>
<div className='answerTranscript'>A: Yes, we who stayed on Delma, we were still working in fish selling.</div>
<div className='questionTranscript'>Q: Was it a good income?</div>
<div className='answerTranscript'>A: It was not bad. It covered our expenses. We were getting 1000 to 1500 dirhams at the beginning per month, but people were satisfied.</div>
<div className='questionTranscript'>Q: You were born 1948, what kind of developments do you remember in your childhood?</div>
<div className='answerTranscript'>A: I remember that I went with my family to AlHajj in 1955 by car!</div>
<div className='questionTranscript'>Q: So in that time you were not travelling by camels?</div>
<div className='answerTranscript'>A: No, when I was born there were cars.</div>
<div className='questionTranscript'>Q: You were travelling to Al Ain in the summer, did you also go by car?</div>
<div className='answerTranscript'>A: Yes, we were going by car. Oil had appeared in the early 1950s but was still in the beginning. For example, I remember Mr. Butti al-Qubaisi, who had worked on Das Island in the year 1961 or 1962, in the first steamship working on Das.</div>
<div className='questionTranscript'>Q: How did you know about the jobs in oil companies?</div>
<div className='answerTranscript'>A: Sheikh Shakhbout bin Sultan Al Nahyan, may God have mercy on him, knew that many people lived on Delma Island. He sent people to Delma and took those who wanted to work with the oil company to Das Island. They received 5 rupees a day and
worked in many jobs.</div>
<div className='questionTranscript'>Q: You lived a hard life!</div>
<div className='answerTranscript'>A: Yes, we lived hard days .The women went with their donkeys to bring water and somewent to bring the wood for cooking. The older women did the cooking at home, but we noticed that life was getting better day by day and everything was getting better. One of he blessings we have today is electricity. In the past, there was no electricity. We were using “Fanar” (lanterns). But before, in the pearl diving period, as our parents told us, they lived a good life.</div>
<div className='questionTranscript'>Q: Were the pearl diving and the good quality of life in Delma, the reasons why people started to come at that time?</div>
<div className='answerTranscript'>A: Yes, and many traders have come to Delma from Kuwait and Iraq.</div>
<div className='questionTranscript'>Q: What period of time did Delma prosper?</div>
<div className='answerTranscript'>A: From the 1940s and earlier. And people of Delma were rich, each shipmaster had about 3 or 4 ships.</div>
<div className='questionTranscript'>Q: Was the owner of the ship the shipmaster on each trip?</div>
<div className='answerTranscript'>A: Some of them were. But they also hired shipmasters. For example, Salem Bin Yaaed Al Qubaisi had five or six ships and he had hired other shipmasters.</div>
<div className='questionTranscript'>Q: When they went out to dive, who stayed on the island with the women?</div>
<div className='answerTranscript'>A: Some men stayed behind. The divers went in the summer and some of the people on Delma would go to Liwa, especially those who had palm trees there. They stayed there until the dates were ready and the divers came back. The divers would come ashore at Jabal Dhanah, and they would collect their families from Liwa and from Almarfaa, and those whose families were Abu Dhabi would bring them from Radeem. People who stayed in Delma depended only on fishing.</div>
<div className='questionTranscript'>Q: You were saying that in the past the fish was plentiful and not like now!</div>
<div className='answerTranscript'>A: Yes, in the past, we were fishing near the shore, only for our daily meals.</div>
<div className='questionTranscript'>Q: You were not catching in large quantities like today?</div>
<div className='answerTranscript'>A: No, because there was no market for that like today. Also the ice was not available too much. Our sea was rich in fish, many ships from Bahrain, Qatar and Dubai were coming to our sea for fishing.</div>"
30,Delma Hospital,24.475707,52.309154,"Delma operates with one hospital. It is owned by Emirates Healhtcare, and offers general surgery, OBGYN/Maternity services, and dentistry.  The Olive Restaurant is located in the hospital, which many consider best restaurant in Delma. It is only open for lunch.  ",,,,,,,,,
31,Old Delma Ferry Port,24.472415,52.321503,"This is where the ferries came Al Danah Port, which also serves Sir Bani Yas --two departures and arrivals everyday. It stopped being used in 2018. ",,,,,,,,,
32,Delma Mall,24.333114,54.523888,"This is a mostly abandoned space, aside from a Abu Dhabi Co-op Supermarket and a Lebanese restaurant owned by a Syrian man. The food is made by South Asian cooks, and they serve primarily biryani and grilled fish and manaaeesh. ",,,,,,,,,
33,Delma Motel,24.483429,52.30157,"Delma Motel is a one-star government-owned motel. it is the only hotel on the island.  It rates are very high, aproximately 750 AED per room in the winter months. It has been run by a Moroccan couple for 30 years. Currently, the staff is also made up of a Nepalese couple. ",,,,,,,,,
34,Farm Area,24.487394,52.315265,"The biggest farm is owned by Ghassan. He was the engineer who worked with Sheikh Zayed to map the new Abu Dhabi. A Palestinian given citizenship, he retired to Delma Island to a farm given to him by Sheikh Zayed. There are several other farms on Delma, that have been developed since the 1990s.",,,,,,,,,
35,Peacock Roundabout,24.484273,52.303398,This roundabout leads to the Al Nahyan Palace on the island. Pheasants have been placed on the roundabout and are fed there. ,,,,,,,,,
36,Delma Shipyard,24.479773,52.307187,"The Delma shipyard is still active, with boat repairs and fishnet building being the primary activity. The workers are South Asian.",,,,,,,,,
37,Angry Birds Cafe,24.480228,52.308264,"Near the old port, this is where former fishermen and sometimes their sons gather to play dominos. It's a place where everyone knows everyone.  The cafe only serves tea and shisha. ",,,,,,,,,
38,Olive Trees of Delma ,24.484107,52.302495,"Near the Delma Motel, there is a grove of olive trees. They do not produce olives and are not native to the region. ",,,,,,,,,
39,Fish Market/New Delma Port,24.490257,52.329506,"Located near the new port, the fish market sells local catch, including shrimp and grouper. ",,,,,,,,,
40,Al Nahyan Palace,24.490523,52.296277,Home of the ruling family when they visit Delma. ,,,,,,,,,
41,Jumaa Al Qubaisi Majlis,24.475014,52.315829,Jumaa is a community leader whose family was one of the first to move to Delma Island.  His father came to the island from Abu Dhabi to be the local imam. ,,,,,,,,,
42,"""Ghost Town"" ",24.505613,52.308873,"This is an area of abandonned villas built in the 1990s for local families, but most have moved away permanently for work and the houses have remained neglected. ",,,,,,,,,
43,New Delma Port,24.48687,52.333309,"This is the new port, that has replaced the Old Delma Port. ",,,,,,,,,
